commune,population_2013
ABOMEY,92266
ABOMEY-CALAVI,656358
ADJA-OUERE,116282
ADJARRA,97424
ADJOHOUN,75323
AGBANGNIZOUN,72549
AGUEGUES,44562
AKPRO-MISSERETE,127249
ALLADA,127512
APLAHOUE,171109
ATHIEME,56483
AVRANKOU,128050
BANIKOARA,246575
BANTE,107181
BASSILA,130091
BEMBEREKE,131255
BOHICON,171781
BONOU,44349
BOPA,96281
BOUKOUMBE,82450
COBLY,67603
COME,79989
COPARGO,70938
COTONOU,679012
COVE,51247
DANGBO,96426
DASSA-ZOUME,112122
DJAKOTOMEY,134028
DJIDJA,123542
DJOUGOU,267812
DOGBO,103057
GLAZOUE,124431
GOGOUNOU,117523
GRAND-POPO,57636
HOUEYOGBE,101893
IFANGNI,110973
KALALE,168882
KANDI,179290
KARIMAMA,66353
KEROU,100197
KETOU,157352
KLOUEKANMEY,128597
KOUANDE,111540
KPOMASSE,67648
LALO,119926
LOKOSSA,104961
MALANVILLE,168641
MATERI,113958
N'DALI,113604
NATITINGOU,103843
NIKKI,151232
OUAKE,74289
OUASSA-PEHUNCO,78217
OUESSE,142017
OUIDAH,162034
OUINHI,59381
PARAKOU,255478
PERERE,78988
POBE,123677
PORTO-NOVO,264320
SAKETE,114088
SAVALOU,144549
SAVE,87177
SEGBANA,89081
SEME-PODJI,222701
SINENDE,91672
SO-AVA,118547
TANGUIETA,74675
TCHAOUROU,223138
TOFFO,101585
TORI-BOSSITO,57632
TOUKOUNTOUNA,39779
TOVIKLIN,88611
ZA-KPOTA,132818
ZAGNANADO,55061
ZE,106913
ZOGBODOMEY,92935
